year,date,precipitation_hours,wind_speed_10m_max,temperature_2m_max,temperature_2m_min,rain_sum,shortwave_radiation_sum
2019,2019-01-01,0.0,14.4,23.2,3.7,0.0,20.33
2019,2019-01-02,1.0,18.7,22.6,4.6,0.1,20.26
2019,2019-01-03,0.0,13.6,22.3,4.0,0.0,18.19
2019,2019-01-04,0.0,12.5,22.1,5.2,0.0,18.91
2019,2019-01-05,0.0,9.7,23.2,6.9,0.0,18.28
2019,2019-01-06,0.0,9.8,22.8,7.2,0.0,19.08
2019,2019-01-07,0.0,14.9,23.5,9.1,0.0,20.21
2019,2019-01-08,0.0,17.1,21.6,6.3,0.0,20.34
2019,2019-01-09,0.0,19.5,20.0,4.0,0.0,19.78
2019,2019-01-10,9.0,11.6,19.9,8.0,1.9,17.32
2019,2019-01-11,0.0,10.4,21.1,5.8,0.0,17.32
2019,2019-01-12,9.0,12.0,19.0,9.1,1.4,14.75
2019,2019-01-13,14.0,10.8,18.2,9.7,5.0,13.63
2019,2019-01-14,0.0,17.6,18.8,8.2,0.0,15.37
2019,2019-01-15,0.0,7.7,19.7,6.2,0.0,18.12
2019,2019-01-16,0.0,11.5,20.9,9.0,0.0,16.79
2019,2019-01-17,0.0,12.0,19.7,8.4,0.0,13.96
2019,2019-01-18,0.0,15.2,20.1,7.0,0.0,14.26
2019,2019-01-19,0.0,21.5,20.5,6.7,0.0,17.83
2019,2019-01-20,1.0,12.8,20.3,6.7,0.1,19.44
2019,2019-01-21,0.0,11.5,23.0,5.5,0.0,21.34
2019,2019-01-22,0.0,21.0,22.6,2.9,0.0,21.77
2019,2019-01-23,0.0,13.5,23.3,4.9,0.0,20.42
2019,2019-01-24,2.0,15.1,23.5,6.3,0.3,19.79
2019,2019-01-25,0.0,22.9,24.7,7.3,0.0,20.96
2019,2019-01-26,0.0,27.7,23.6,5.6,0.0,21.32
2019,2019-01-27,0.0,9.7,17.9,5.8,0.0,19.95
2019,2019-01-28,0.0,25.4,21.9,2.6,0.0,22.24
2019,2019-01-29,0.0,25.2,22.0,4.9,0.0,22.19
2019,2019-01-30,0.0,23.1,22.6,6.0,0.0,22.78
2019,2019-01-31,0.0,16.9,22.9,3.2,0.0,22.75
2019,2019-02-01,0.0,18.2,22.7,5.9,0.0,21.55
2019,2019-02-02,0.0,10.7,23.2,5.7,0.0,22.37
2019,2019-02-03,0.0,14.4,25.0,6.2,0.0,22.4
2019,2019-02-04,0.0,16.0,25.3,8.6,0.0,22.45
2019,2019-02-05,0.0,10.3,25.3,7.6,0.0,22.42
2019,2019-02-06,0.0,18.4,26.6,8.1,0.0,22.76
2019,2019-02-07,0.0,15.9,26.3,9.8,0.0,22.95
2019,2019-02-08,4.0,19.1,22.1,10.5,1.3,19.07
2019,2019-02-09,0.0,18.8,22.5,7.2,0.0,20.33
2019,2019-02-10,0.0,16.5,22.8,4.5,0.0,23.24
2019,2019-02-11,0.0,14.5,24.2,7.5,0.0,22.24
2019,2019-02-12,2.0,23.4,22.4,8.0,0.2,20.0
2019,2019-02-13,8.0,15.1,20.8,6.7,1.7,17.71
2019,2019-02-14,0.0,18.4,24.2,7.7,0.0,20.18
2019,2019-02-15,0.0,17.0,26.0,9.0,0.0,23.64
2019,2019-02-16,0.0,23.2,27.4,11.1,0.0,22.82
2019,2019-02-17,0.0,24.6,28.9,8.8,0.0,24.16
2019,2019-02-18,0.0,24.0,27.7,10.9,0.0,25.03
