time,temperature,precipitation,humidity,windspeed_10m,is_day,shortwave,year,month,day,id
"2020-02-01 00:00:00",8.7,0.0,61,7.0,0,0.0,2020,2,1,
"2020-02-01 01:00:00",8.6,0.0,60,4.8,0,0.0,2020,2,1,
"2020-02-01 02:00:00",7.7,0.0,61,4.3,0,0.0,2020,2,1,
"2020-02-01 03:00:00",7.1,0.0,62,5.7,0,0.0,2020,2,1,
"2020-02-01 04:00:00",8.9,0.0,52,2.4,0,0.0,2020,2,1,
"2020-02-01 05:00:00",9.9,0.0,48,2.7,0,0.0,2020,2,1,
"2020-02-01 06:00:00",9.1,0.0,64,4.7,0,0.0,2020,2,1,
"2020-02-01 07:00:00",5.6,0.0,88,7.7,0,0.0,2020,2,1,
"2020-02-01 08:00:00",8.0,0.0,80,6.4,1,39.0,2020,2,1,
"2020-02-01 09:00:00",10.5,0.0,73,9.7,1,206.0,2020,2,1,
"2020-02-01 10:00:00",12.6,0.0,63,9.7,1,466.0,2020,2,1,
"2020-02-01 11:00:00",15.0,0.0,53,10.5,1,668.0,2020,2,1,
"2020-02-01 12:00:00",17.2,0.0,46,8.3,1,750.0,2020,2,1,
"2020-02-01 13:00:00",18.9,0.3,40,4.7,1,704.0,2020,2,1,
"2020-02-01 14:00:00",19.9,0.2,35,4.5,1,575.0,2020,2,1,
"2020-02-01 15:00:00",20.3,0.1,31,2.5,1,552.0,2020,2,1,
"2020-02-01 16:00:00",20.8,0.0,30,6.9,1,506.0,2020,2,1,
"2020-02-01 17:00:00",20.1,0.0,33,13.6,1,364.0,2020,2,1,
"2020-02-01 18:00:00",18.0,0.0,47,6.4,1,130.0,2020,2,1,
"2020-02-01 19:00:00",15.0,0.0,51,21.1,0,10.0,2020,2,1,
"2020-02-01 20:00:00",12.4,0.0,63,11.6,0,0.0,2020,2,1,
"2020-02-01 21:00:00",11.9,0.0,66,11.6,0,0.0,2020,2,1,
"2020-02-01 22:00:00",11.2,0.0,70,6.9,0,0.0,2020,2,1,
"2020-02-01 23:00:00",10.4,0.0,74,3.1,0,0.0,2020,2,1,
"2020-02-02 00:00:00",10.4,0.0,74,1.9,0,0.0,2020,2,2,
"2020-02-02 01:00:00",8.8,0.0,83,4.7,0,0.0,2020,2,2,
"2020-02-02 02:00:00",8.4,0.0,85,4.7,0,0.0,2020,2,2,
"2020-02-02 03:00:00",8.8,0.0,82,3.3,0,0.0,2020,2,2,
"2020-02-02 04:00:00",8.4,0.0,85,4.6,0,0.0,2020,2,2,
"2020-02-02 05:00:00",8.6,0.0,82,4.8,0,0.0,2020,2,2,
"2020-02-02 06:00:00",7.9,0.0,87,3.0,0,0.0,2020,2,2,
"2020-02-02 07:00:00",8.1,0.0,86,3.6,0,0.0,2020,2,2,
"2020-02-02 08:00:00",8.6,0.0,83,1.3,1,36.0,2020,2,2,
